aso,brand,capacity,color,fuel_type,horse_power,is_used,mileage,no_accidents,number_of_doors,origin_country,price,transmission,type,year
True,BMW,2993,Czarny,Diesel,320,True,163000,True,4,Polska,208999,Automatyczna,None,2017
True,Opel,1199,Szary,Benzyna,110,True,107628,True,5,Belgia,56900,Manualna,None,2017
True,Toyota,2487,Czarny,Hybryda,178,True,83351,None,4,Polska,118900,Automatyczna,None,2019
True,Toyota,1496,Niebieski,Benzyna,111,True,61778,True,5,Polska,56900,Manualna,None,2020
True,Peugeot,1560,Brązowy,Diesel,115,True,197000,True,5,Niemcy,45700,Manualna,None,2015
True,Toyota,2487,Czarny,Hybryda,178,True,114306,None,4,Polska,113900,Automatyczna,None,2019
True,Toyota,1496,Zielony,Benzyna,125,True,50352,True,5,Polska,68900,Manualna,None,2021
True,Kia,1482,Czerwony,Benzyna,160,True,55329,None,5,Polska,75900,Manualna,None,2022
None,BMW,1995,Srebrny,Diesel,183,True,238500,None,5,None,52000,Automatyczna,None,2013
None,BMW,1499,Czarny,Benzyna,136,True,21000,None,5,None,139999,Automatyczna,None,2023
None,Hyundai,1248,Złoty,Benzyna,84,True,135000,True,5,None,34500,Manualna,None,2016
None,Ford,1999,Biały,Benzyna,240,True,94000,None,4,None,72500,Automatyczna,None,2019
True,Toyota,1798,Szary,Hybryda,73,True,100000,True,5,Polska,82000,Automatyczna,None,2017
None,Toyota,1298,Srebrny,Benzyna,87,True,211000,None,5,None,16500,Automatyczna,None,2008
True,Honda,2199,Szary,Diesel,180,True,290000,True,5,Niemcy,34900,Manualna,None,2011
None,Alfa Romeo,1995,Szary,Benzyna,280,True,2900,None,5,Stany Zjednoczone,189700,Automatyczna,None,2022
None,Volkswagen,1896,Szary,Diesel,105,True,232600,None,5,Polska,12900,Manualna,None,2005
True,Jeep,1368,Inny kolor,Benzyna,140,True,75539,True,5,Polska,79900,Manualna,None,2018
None,Seat,1498,Szary,Benzyna,150,False,5,True,5,Polska,133700,Automatyczna,None,2023
True,Volvo,1969,Szary,Diesel,225,True,196000,True,5,Polska,154365,Automatyczna,None,2016
None,Skoda,999,Biały,Benzyna,60,True,118500,None,3,None,21900,Manualna,None,2015
None,Mazda,1388,Błękitny,Benzyna,80,True,72043,None,5,None,16900,Automatyczna,None,2007
None,Volkswagen,1395,Szary,Benzyna,150,True,98000,None,5,None,89900,Automatyczna,None,2018
None,Audi,1984,Czarny,Benzyna,130,True,241580,True,4,Niemcy,10990,Automatyczna,None,2002
True,Volkswagen,2967,Beżowy,Diesel,240,True,228000,None,5,Polska,41900,Automatyczna,None,2008
None,Honda,1198,Czerwony,Benzyna,90,True,138000,True,5,None,26900,Manualna,None,2013
None,Seat,1498,Niebieski,Benzyna,150,False,5,True,5,Polska,137500,Automatyczna,None,2023
None,Peugeot,1560,Biały,Diesel,100,True,130690,None,5,None,36600,Manualna,None,2016
True,Peugeot,1499,Czarny,Diesel,102,True,115000,True,5,Polska,45000,Manualna,None,2018
True,BMW,2993,Biały,Diesel,258,True,232000,True,5,Niemcy,109900,Automatyczna,None,2014
None,BMW,1995,Czarny,Diesel,190,True,263000,True,4,Niemcy,61900,Automatyczna,None,2015
None,Seat,1498,Szary,Benzyna,150,False,5,True,5,Polska,133600,Automatyczna,None,2023
None,Skoda,1197,Bordowy,Benzyna+LPG,90,True,176500,True,5,Polska,24900,Manualna,None,2016
True,Ford,1496,Czarny,Diesel,101,True,160000,True,5,Luksemburg,38990,Manualna,None,2015
None,Lexus,1988,Czerwony,Benzyna,155,True,300000,None,5,None,10500,Manualna,None,2002
None,Kia,1368,Biały,Benzyna,100,True,73000,True,5,Polska,58425,Manualna,None,2018
None,Mazda,1998,Niebieski,Benzyna,120,True,11500,None,5,Niemcy,74999,Manualna,None,2018
None,Volkswagen,1198,Szary,Benzyna,55,True,220000,None,5,None,11900,Manualna,None,2006
None,Cupra,1498,Czerwony,Benzyna,150,False,1,True,5,None,153700,Automatyczna,None,2023
None,BMW,1995,Granatowy,Diesel,143,True,181980,None,5,None,15500,Manualna,None,2008
None,Audi,2995,Biały,Benzyna,333,True,88649,None,5,None,72900,Automatyczna,None,2018
True,Citroën,1560,Szary,Diesel,116,True,172000,True,5,Niemcy,35900,Manualna,None,2015
None,Volkswagen,1198,Czerwony,Benzyna,60,True,121577,None,5,Polska,26500,Manualna,None,2012
None,Jaguar,2995,Czarny,Benzyna,340,True,104642,None,4,None,44700,Automatyczna,None,2017
True,Hyundai,1582,Szary,Diesel,90,True,184000,True,5,Niemcy,22900,Manualna,None,2011
True,Ford,1498,Beżowy,Diesel,120,True,195591,True,5,Niemcy,39999,Manualna,None,2015
None,Audi,1984,Fioletowy,Benzyna,150,True,135000,True,3,Niemcy,16900,Automatyczna,None,2005
True,Mercedes-Benz,1332,Czarny,Benzyna,163,True,52658,True,5,Polska,164900,Automatyczna,None,2021
None,Mercedes-Benz,1991,Czarny,Benzyna,360,True,82000,True,5,Szwajcaria,119000,Automatyczna,None,2014
True,Mercedes-Benz,1950,Czarny,Diesel,195,True,117900,True,4,Polska,157932,Automatyczna,None,2016
None,Audi,1781,Srebrny,Benzyna,225,True,241323,True,2,Niemcy,22500,Manualna,None,2000
True,Ford,1997,Czarny,Diesel,163,True,172335,True,5,Niemcy,39999,Manualna,None,2013
True,Volvo,1969,Czarny,Diesel,235,True,140000,True,5,Niemcy,169800,Automatyczna,None,2019
True,Jeep,3604,Czarny,Benzyna,286,True,8900,None,5,None,199900,Automatyczna,None,2020
None,Toyota,1329,Czerwony,Benzyna,99,True,126123,None,5,None,38800,Manualna,None,2014
None,Ford,1499,Biały,Benzyna,182,True,43000,None,5,Stany Zjednoczone,73000,Automatyczna,None,2019
True,Porsche,2894,Szary,Benzyna,380,True,10000,True,5,Polska,530000,Automatyczna,None,2022
None,Kia,1482,Czerwony,Benzyna,160,False,10,True,5,None,108900,Automatyczna,None,2023
True,Mercedes-Benz,1993,Biały,Diesel,197,True,10684,True,5,Polska,289900,Automatyczna,None,2023
None,Citroën,1997,Fioletowy,Diesel,163,True,149563,None,5,None,37600,Manualna,None,2012
True,Mercedes-Benz,3982,Czarny,Benzyna,585,True,71443,True,5,Polska,859900,Automatyczna,None,2019
None,Mercedes-Benz,2034,Czarny,Benzyna,136,True,139000,True,5,Niemcy,9900,Manualna,None,2004
None,Audi,1984,Biały,Benzyna,265,True,59215,None,4,None,52700,Automatyczna,None,2018
True,Mercedes-Benz,3982,Biały,Benzyna,571,True,32458,True,5,Polska,629900,Automatyczna,None,2021
True,Mercedes-Benz,1993,Srebrny,Diesel,265,True,32776,True,5,Polska,279900,Automatyczna,None,2021
None,Seat,1968,Czarny,Diesel,150,True,224190,None,5,None,44300,Manualna,None,2014
None,Skoda,1968,Czarny,Diesel,150,True,280000,None,5,Niemcy,34999,Manualna,None,2014
True,Renault,1995,Srebrny,Diesel,130,True,196000,True,5,Niemcy,23600,Manualna,None,2009
None,Audi,1984,Czerwony,Benzyna,265,False,5,True,5,Polska,353566,Automatyczna,None,2023
True,Land Rover,1997,Czarny,Benzyna,200,True,51000,True,5,Polska,168210,Automatyczna,None,2019
None,Mitsubishi,1968,Niebieski,Diesel,140,True,223000,True,5,Niemcy,23000,Manualna,None,2007
None,Mercedes-Benz,1332,Szary,Benzyna,163,False,1,True,5,Polska,199800,Automatyczna,None,2023
True,Ford,1560,Bordowy,Diesel,90,True,198000,True,5,Niemcy,18900,Manualna,None,2009
None,BMW,1995,Szary,Diesel,190,False,1,True,5,Polska,301000,Automatyczna,None,2023
None,Mercedes-Benz,1993,Zielony,Diesel,269,False,1,True,5,Polska,453900,Automatyczna,None,2023
True,Ford,1997,Srebrny,Diesel,140,True,249150,True,5,Niemcy,19800,Manualna,None,2007
None,BMW,1997,Biały,Benzyna,245,True,59153,None,5,None,38999,Automatyczna,None,2016
True,Kia,1598,Zielony,Benzyna,150,True,19260,True,5,Polska,116900,Automatyczna,None,2023
None,BMW,1499,Srebrny,Benzyna,136,False,1,True,5,Polska,200200,Automatyczna,None,2023
None,Audi,2967,Zielony,Diesel,231,False,1,True,5,Polska,389800,Automatyczna,None,2023
None,Mercedes-Benz,1999,Biały,Benzyna,204,False,1,True,5,Polska,319803,Automatyczna,None,2023
True,Skoda,1197,Szary,Benzyna,105,True,141000,True,5,Polska,25900,Manualna,None,2012
None,Kia,1482,Czerwony,Benzyna,160,False,10,True,5,None,108900,Automatyczna,None,2023
True,BMW,1995,Czarny,Diesel,122,True,207500,True,5,Polska,16900,Manualna,None,2006
None,Jeep,2359,Bordowy,Benzyna+LPG,170,True,182000,None,5,None,18800,Manualna,None,2007
True,Kia,1598,Zielony,Benzyna,150,True,17530,True,5,Polska,116900,Automatyczna,None,2023
None,Audi,2995,Biały,Benzyna,340,False,1,True,5,Polska,396500,Automatyczna,None,2023
True,BMW,1995,Biały,Diesel,184,True,177568,True,5,Niemcy,67900,Manualna,None,2015
None,Audi,2967,Czarny,Diesel,286,False,1,True,5,Polska,563100,Automatyczna,None,2023
None,Skoda,1498,Niebieski,Benzyna,150,False,4,True,5,Polska,194190,Automatyczna,None,2023
None,Citroën,1587,Czarny,Benzyna,110,True,217000,True,5,Polska,8400,Manualna,None,2003
None,Audi,2967,Niebieski,Diesel,231,False,1,True,5,Polska,420400,Automatyczna,None,2023
None,Audi,1984,Szary,Benzyna,265,False,1,True,5,Polska,368200,Automatyczna,None,2023
None,BMW,1495,Biały,Diesel,116,True,5500,True,4,Polska,148400,Automatyczna,None,2023
None,BMW,2993,Czarny,Diesel,298,False,1,True,5,Polska,413700,Automatyczna,None,2023
None,BMW,2993,Czarny,Diesel,352,False,1,True,5,Polska,489800,Automatyczna,None,2024
None,Mercedes-Benz,1993,Biały,Diesel,197,False,4900,True,5,Polska,299400,Automatyczna,None,2022
True,Audi,1968,Czarny,Diesel,143,True,278000,True,5,Niemcy,40900,Manualna,None,2013
None,Mercedes-Benz,2925,Czarny,Diesel,330,True,2500,None,5,None,920000,Automatyczna,None,2022
None,Land Rover,2997,Biały,Diesel,300,False,1,True,5,Polska,600600,Automatyczna,None,2023
None,Mercedes-Benz,1332,Biały,Benzyna,163,False,1,True,5,Polska,194600,Automatyczna,None,2023
True,Fiat,1242,Czarny,Benzyna,69,True,83000,True,3,None,28900,Manualna,None,2015
None,Mitsubishi,1968,Szary,Diesel,140,True,271807,None,5,None,28800,Manualna,None,2007
None,Peugeot,1560,Czarny,Diesel,115,True,317000,None,5,None,17900,Manualna,None,2012
True,Audi,2967,Brązowy,Diesel,258,True,296100,None,5,Polska,79900,Automatyczna,None,2014
None,Suzuki,1373,Szary,Benzyna,129,True,6300,None,5,None,86000,Manualna,None,2023
True,Audi,2967,Biały,Diesel,286,True,91350,True,5,Niemcy,255000,Automatyczna,None,2018
True,Volkswagen,1598,Niebieski,Diesel,115,True,146000,True,5,Niemcy,47700,Manualna,None,2017
None,Audi,1968,Czarny,Diesel,120,True,237000,True,5,Francja,29500,Manualna,None,2011
True,Citroën,1997,Zielony,Diesel,136,True,227058,True,5,Austria,12950,Manualna,None,2009
True,BMW,1499,Biały,Benzyna,140,True,8900,True,5,Polska,131979,Automatyczna,None,2020
True,Porsche,4806,Czarny,Benzyna,520,True,90407,True,5,Polska,269000,Automatyczna,None,2014
True,Volkswagen,1968,Czarny,Diesel,170,True,544963,True,5,Polska,9000,Manualna,None,2006
True,BMW,1995,Szary,Diesel,150,True,180000,True,5,Polska,88900,Automatyczna,None,2019
None,Lexus,2231,Szary,Diesel,177,True,297800,True,4,None,19900,Manualna,None,2007
None,Mercedes-Benz,2148,Srebrny,Diesel,136,True,234000,None,4,None,27900,Manualna,None,2008
None,BMW,1995,Szary,Diesel,150,True,106000,None,2,Francja,59000,Manualna,None,2015
True,Ford,4605,Czarny,Benzyna,292,True,129000,True,5,Japonia,49800,Automatyczna,None,2007
True,Ford,1997,Biały,Diesel,150,True,114900,True,5,Polska,87900,Manualna,None,2018
None,Land Rover,1999,Błękitny,Benzyna,240,True,88000,None,5,Stany Zjednoczone,89999,Automatyczna,None,2014
True,BMW,1995,Biały,Diesel,190,True,141000,True,5,Polska,102999,Automatyczna,None,2016
None,Skoda,1197,Srebrny,Benzyna,105,True,97000,None,5,None,29400,Automatyczna,None,2013
True,BMW,1997,Czarny,Benzyna,245,True,358000,None,4,Polska,57000,Automatyczna,None,2015
True,Mercedes-Benz,1991,Czarny,Benzyna,245,True,56000,None,5,None,129900,Automatyczna,None,2017
True,Toyota,1496,Szary,Benzyna,125,True,20500,True,5,None,70000,Manualna,None,2020
None,Skoda,1498,Niebieski,Benzyna,150,False,9,True,5,Polska,150990,Automatyczna,None,2023
True,Mazda,2488,Beżowy,Hybryda,191,True,10200,True,5,Polska,224900,Automatyczna,None,2022
True,Volvo,1969,Inny kolor,Diesel,190,True,168000,True,5,Niemcy,128900,Automatyczna,None,2019
True,Hyundai,1591,Czarny,Benzyna,135,True,106280,True,5,Austria,53500,Manualna,None,2015
None,Toyota,998,Niebieski,Benzyna,68,True,136685,None,5,Dania,16700,Manualna,None,2011
None,Volvo,2400,Granatowy,Diesel,185,True,240000,None,5,None,37500,Automatyczna,None,2008
True,BMW,1995,Czarny,Diesel,190,False,5000,True,5,Polska,214900,Automatyczna,None,2022
None,Alfa Romeo,1995,Czarny,Benzyna,280,True,28580,None,4,None,63999,Automatyczna,None,2021
None,Renault,1149,Niebieski,Benzyna,100,True,173800,True,3,Niemcy,11200,Manualna,None,2008
None,Mercedes-Benz,2143,Biały,Diesel,136,True,202000,True,4,Niemcy,39900,Manualna,None,2011
True,Volvo,1969,Czarny,Diesel,235,True,113000,True,5,Szwecja,142900,Automatyczna,None,2017
None,Jeep,1598,Szary,Benzyna,110,True,46000,None,5,None,54900,Manualna,None,2017
True,Toyota,1496,Szary,Benzyna,125,True,47325,True,5,Polska,74900,Manualna,None,2022
True,Audi,1968,Czarny,Diesel,184,True,233000,True,5,Dania,74000,Manualna,None,2016
True,Fiat,1248,Zielony,Diesel,75,True,147100,True,5,Polska,16900,Manualna,None,2009
None,Chevrolet,3600,Czarny,Benzyna,323,True,155742,None,2,None,44999,Automatyczna,None,2017
None,Lexus,2494,Srebrny,Hybryda,155,True,87500,None,5,None,118000,Automatyczna,None,2017
None,BMW,2993,Czarny,Diesel,340,True,19850,None,4,Niemcy,369000,Automatyczna,None,2022
True,Suzuki,1373,Biały,Benzyna,129,True,7500,True,5,Polska,98000,Manualna,None,2023
None,Renault,1998,Srebrny,Benzyna,136,True,167000,True,2,Niemcy,9800,Manualna,None,2006
None,Volkswagen,1199,Czarny,Diesel,75,True,137600,None,3,None,25900,Manualna,None,2013
None,Toyota,1329,Srebrny,Benzyna,99,True,95286,None,5,Polska,36000,Manualna,None,2013
True,Toyota,1598,Inny kolor,Benzyna,132,True,234360,None,5,Polska,45999,Manualna,None,2018
None,BMW,1997,Biały,Benzyna,245,True,72000,True,5,None,64999,Automatyczna,None,2015
None,Skoda,1968,Inny kolor,Diesel,150,False,4,True,5,Polska,159820,Automatyczna,None,2023
None,Seat,1968,Czarny,Diesel,200,False,None,True,5,Polska,251041,Automatyczna,None,2023
None,Mercedes-Benz,2143,Czarny,Diesel,170,True,253000,None,5,None,38900,Manualna,None,2010
True,BMW,2993,Biały,Diesel,381,True,166000,True,5,Polska,85400,Automatyczna,None,2016
None,Volvo,1969,Biały,Benzyna,254,True,71095,None,4,None,79999,Automatyczna,None,2018
None,Seat,1598,Srebrny,Benzyna,105,True,258995,True,4,Holandia,5500,Manualna,None,2003
None,Volvo,1984,Biały,Diesel,163,True,241300,True,5,Szwecja,37500,Manualna,None,2013
True,Renault,898,Czarny,Benzyna,90,True,127000,True,5,Niemcy,44900,Manualna,None,2015
None,Audi,2967,Szary,Diesel,326,True,189000,None,5,None,215000,Automatyczna,None,2018
None,BMW,2979,Biały,Benzyna,306,True,177867,None,5,None,55999,Automatyczna,None,2017
True,Volvo,1560,Czarny,Diesel,109,True,191400,True,5,Niemcy,26900,Manualna,None,2010
True,Mercedes-Benz,1991,Szary,Benzyna,381,True,58000,None,5,Niemcy,147000,Automatyczna,None,2018
None,Skoda,1968,Brązowy,Diesel,190,True,107500,None,5,None,96500,Automatyczna,None,2017
True,Audi,1968,Pomarańczowy,Diesel,170,True,285377,None,2,Niemcy,43900,Manualna,None,2008
None,Ford,3490,Szary,Benzyna,376,True,124458,None,5,None,48999,Automatyczna,None,2018
None,Volkswagen,1400,Czarny,Benzyna+LPG,60,True,232606,None,5,None,4500,Manualna,None,1997
True,Ford,999,Bordowy,Benzyna,125,False,7,True,5,Polska,129800,Automatyczna,None,2023
True,Audi,1984,Czarny,Benzyna,190,True,87000,None,5,None,76500,Automatyczna,None,2016
True,Toyota,1490,Czerwony,Hybryda,92,True,16091,True,5,Polska,119900,Automatyczna,None,2022
True,Kia,1582,Czarny,Diesel,116,True,155000,True,3,Niemcy,21900,Manualna,None,2012
True,Porsche,2995,Pomarańczowy,Benzyna,330,True,92300,True,5,Polska,504300,Automatyczna,None,2019
None,Opel,1199,Szary,Benzyna,130,True,14000,None,5,None,73900,Automatyczna,None,2021
None,Ford,999,Czarny,Benzyna,125,False,1,True,5,Polska,109900,Manualna,None,2023
None,Renault,1998,Biały,Benzyna,197,True,134000,True,3,Francja,56999,Manualna,None,2007
True,Mercedes-Benz,1950,Czarny,Diesel,195,True,130000,True,4,Polska,148889,Automatyczna,None,2020
None,Porsche,3600,Biały,Benzyna,420,True,86500,True,2,Japonia,336000,Automatyczna,None,2004
None,Jeep,3604,Biały,Benzyna,286,True,75500,None,5,None,145000,Automatyczna,None,2020
None,Ford,1499,Szary,Diesel,100,True,232000,None,5,None,92900,Manualna,None,2018
True,Volvo,1969,Złoty,Diesel,235,True,159700,True,5,Polska,235900,Automatyczna,None,2021
None,Honda,1590,Srebrny,Benzyna,110,True,193000,None,3,Niemcy,11500,Manualna,None,2005
True,Volkswagen,1968,Biały,Diesel,150,True,176000,True,5,Niemcy,107010,Automatyczna,None,2019
None,Honda,2354,Czarny,Benzyna+LPG,190,True,320000,True,4,Niemcy,23800,Manualna,None,2003
True,Volvo,1984,Granatowy,Diesel,136,True,178000,None,5,None,45141,Manualna,None,2014
True,Skoda,999,Czarny,Benzyna,110,True,16838,None,5,Polska,94990,Automatyczna,None,2022
None,Skoda,1498,Czarny,Benzyna,150,False,4,True,5,Polska,165970,Automatyczna,None,2023
None,Dacia,999,Niebieski,Benzyna+LPG,100,False,1,True,5,Polska,79999,Manualna,None,2023
None,Chrysler,3605,Szary,Benzyna+LPG,283,True,143000,None,5,None,68000,Automatyczna,None,2014
True,Mazda,2191,Czerwony,Diesel,150,True,270000,True,5,Holandia,49900,Manualna,None,2015
True,BMW,2993,Biały,Diesel,381,True,105200,True,5,Polska,189000,Automatyczna,None,2016
True,Volvo,1969,Czarny,Diesel,235,True,81000,True,5,Polska,163000,Automatyczna,None,2018
True,Toyota,1497,Niebieski,Hybryda,116,True,28685,True,5,Polska,89900,Automatyczna,None,2022
None,Audi,1997,Biały,Diesel,190,True,166377,None,5,None,103320,Automatyczna,None,2015
True,BMW,1995,Biały,Diesel,190,True,85000,True,4,Polska,144900,Automatyczna,None,2019
True,Volvo,1969,Czarny,Benzyna,250,True,78233,None,4,Stany Zjednoczone,144500,Automatyczna,None,2021
None,BMW,2993,Czarny,Diesel,218,True,221500,None,5,Wielka Brytania,13900,Automatyczna,None,2006
None,Kia,1591,Srebrny,Benzyna,135,True,272200,True,5,Polska,24999,Manualna,None,2013
True,Seat,1498,Niebieski,Benzyna,150,True,15135,True,5,Polska,116500,Manualna,None,2022
None,Opel,1399,Czarny,Benzyna,150,True,161573,None,5,Polska,47900,Automatyczna,None,2017
True,Audi,2967,Biały,Diesel,272,True,142880,True,4,Polska,73200,Automatyczna,None,2015
True,Mercedes-Benz,1498,Niebieski,Benzyna,95,True,98000,None,5,None,14900,Manualna,None,2009
True,Suzuki,1586,Biały,Benzyna,120,True,103185,True,5,Polska,65500,Manualna,None,2018
None,BMW,2979,Biały,Benzyna,306,True,85489,None,5,None,70000,Automatyczna,None,2016
True,Nissan,1197,Bordowy,Benzyna,115,True,73000,True,5,Polska,54700,Manualna,None,2016
None,BMW,2993,Srebrny,Diesel,218,True,280000,None,5,None,15900,Automatyczna,None,2004
True,Mercedes-Benz,2925,Szary,Diesel,330,True,58754,True,5,None,380000,Automatyczna,None,2021
